WERKS,BANFN,BNFPO,MATNR,MATKL,MENGE,MEINS,NETPR,PEINH,BADAT,FRGDT,LOEKZ,ERNAM,PERNR,EBELN,EBELP,LAND1
JP11,1000002,1,40378320,EDSA,46,PCS,605,EUR,2019-01-01,2019-01-03, ,97782265,59231227,379536,1,JP
JP11,1000002,2,47767912,PYTF,93,PCS,915,EUR,2019-01-01,2019-01-04, ,97782265,70110687,647607,1,JP
US10,1000005,2,75603272,ZUFN,79,PCS,320,EUR,2019-01-02,2019-01-07, ,14147752,88510487,430420,1,US
US10,1000020,2,58890322,UDF3,54,PCS,813,EUR,2019-01-07,2019-01-08, ,94955702,40424932,571629,1,US
US10,1000005,1,40378320,EDSA,62,PCS,605,EUR,2019-01-02,2019-01-09, ,14147752,23329589,258514,2,US
JP11,1000001,1,88346328,MPLF,79,KG,618,EUR,2019-01-01,2019-01-08, ,35192131,40601709,152248,1,JP
BR10,1000009,1,86457056,MPLF,73,PCS,159,EUR,2019-01-04,2019-01-08, ,98019339,32008687,215278,1,BR
JP11,1000030,2,28440760,ZELA,43,PCS,603,EUR,2019-01-09,2019-01-15, ,83191486,49784073,554894,3,JP
JP11,1000013,2,25398208,COLA,20,PCS,504,EUR,2019-01-07,2019-01-15, ,11888297,33607135,554894,2,JP
JP11,1000011,1,86662444,MPLF,29,KG,447,EUR,2019-01-04,2019-01-15, ,26673288,40601709,554894,1,JP
JP11,1000030,1,50862632,PYTF,45,PCS,867,EUR,2019-01-09,2019-01-14, ,83191486,70110687,363671,1,JP
JP11,1000006,1,32645344,EDSA,89,PCS,845,EUR,2019-01-03,2019-01-11, ,35507382,59231227,588715,3,JP
JP11,1000013,1,19816724,COLA,26,PCS,521,EUR,2019-01-07,2019-01-11, ,11888297,33607135,588715,1,JP
JP11,1000006,3,64963528,UDF3,86,KG,702,EUR,2019-01-03,2019-01-09, ,35507382,79246109,477955,4,JP
CN10,1000024,1,98147568,MPLF,50,L,996,EUR,2019-01-08,2019-01-16, ,16600755,12948061,691504,1,CN
DE10,1000008,1,43151008,EDSA,93,PCS,554,EUR,2019-01-03,2019-01-09, ,72770444,58569539,749334,2,DE
BR10,1000003,1,98151444,MPLF,49,PCS,916,EUR,2019-01-02,2019-01-10, ,99603522,32008687,303889,2,BR
CN10,1000004,1,86457056,MPLF,86,PCS,159,EUR,2019-01-02,2019-01-08, ,43287891,20837115,460406,1,CN
CN10,1000010,1,43151008,EDSA,64,PCS,554,EUR,2019-01-04,2019-01-10, ,71889081,49485597,207781,1,CN
BR10,1000025,3,28440760,ZELA,89,PCS,603,EUR,2019-01-08,2019-01-14, ,44488029,40138709,561710,2,BR
IN10,1000021,3,98151444,MPLF,68,PCS,916,EUR,2019-01-07,2019-01-15,x,22189465,49826393,831433,1,IN
IN10,1000034,2,90455123,MPLF,80,PCS,437,EUR,2019-01-14,2019-01-16, ,12521424,49826393,831433,3,IN
CN10,1000037,1,98151444,MPLF,68,PCS,916,EUR,2019-01-11,2019-01-16, ,59281781,20837115,691504,2,CN
BR10,1000031,1,97625203,MPLF,82,KG,554,EUR,2019-01-10,2019-01-14, ,12941038,32008687,561710,3,BR
US10,1000020,1,54965832,PYTF,11,G,77,EUR,2019-01-14,2019-01-15, ,94955702,43449637,158330,2,US
US10,1000022,2,90455123,MPLF,27,PCS,437,EUR,2019-01-07,2019-01-10, ,30869602,81552979,347658,3,US
US10,1000016,1,24242928,COLA,7,KG,321,EUR,2019-01-07,2019-01-10, ,87596201,81552979,347658,1,US
IN10,1000033,1,86457056,MPLF,82,PCS,159,EUR,2019-01-10,2019-01-11, ,59136793,49826393,416457,1,IN
IN10,1000021,1,90455123,MPLF,46,PCS,437,EUR,2019-01-07,2019-01-14, ,22189465,49826393,841647,2,IN
DE10,1000042,1,24567712,COLA,4,PCS,689,EUR,2019-01-14,2019-01-16, ,30964223,63821277,383407,1,DE
DE10,1000026,1,32645344,EDSA,8,PCS,845,EUR,2019-01-09,2019-01-14, ,75758576,58569539,895624,1,DE
DE10,1000027,1,22818912,COLA,94,KG,636,EUR,2019-01-09,2019-01-14, ,96016266,63821277,895624,2,DE
US10,1000022,1,45013285,EDSA,58,KG,543,EUR,2019-01-08,2019-01-10, ,30869602,23329589,347658,2,US
IN10,1000054,1,88346328,MPLF,27,KG,618,EUR,2019-01-25,2019-02-04,x,43449637,49826393,339696,4,IN
IN10,1000034,1,86662444,MPLF,73,KG,447,EUR,2019-01-11,2019-01-15, ,12521424,49826393,126433,1,IN
CN10,1000041,1,19474160,COLA,22,KG,986,EUR,2019-01-14,2019-01-23, ,66118598,71417158,454895,1,CN
IN10,1000044,1,97625203,MPLF,54,KG,554,EUR,2019-01-14,2019-01-16, ,60935037,44155404,244595,1,IN
CN10,1000060,1,24242928,COLA,61,KG,321,EUR,2019-01-21,2019-01-22, ,96131719,23246292,815616,1,CN
IN10,1000039,1,86457056,MPLF,42,PCS,159,EUR,2019-01-14,2019-01-18, ,36618466,49826393,339696,1,IN
DE10,1000067,2,48248768,PYTF,55,PCS,693,EUR,2019-01-21,2019-01-24, ,57122925,68613813,760821,2,DE
BR10,1000065,1,86834912,MPLF,44,PCS,381,EUR,2019-01-21,2019-01-24, ,85699417,32008687,489716,1,BR
DE10,1000051,1,86834912,MPLF,9,PCS,381,EUR,2019-01-15,2019-01-17, ,69988311,47656838,261376,2,DE
DE10,1000038,1,19816724,COLA,8,PCS,521,EUR,2019-01-14,2019-01-17, ,96108943,63821277,261376,1,DE
US10,1000058,1,48075088,PYTF,61,KG,353,EUR,2019-01-17,2019-01-23, ,14623043,23329589,778340,1,US
US10,1000048,1,88346328,MPLF,89,KG,618,EUR,2019-01-15,2019-01-18, ,73943505,81552979,717681,2,US
IN10,1000034,3,98151444,MPLF,29,PCS,916,EUR,2019-01-10,2019-01-21,x,12521424,49826393,126433,2,IN
JP11,1000040,2,77128608,ZUFN,64,PCS,606,EUR,2019-01-14,2019-01-18, ,30655341,92217720,242141,1,JP
JP11,1000055,1,43151008,EDSA,70,PCS,554,EUR,2019-01-16,2019-01-17,x,14216209,59231227,413357,1,JP
JP11,1000040,1,44074088,EDSA,43,PCS,52,EUR,2019-01-14,2019-01-16, ,30655341,59231227,626066,1,JP
BR10,1000035,2,75227320,UDF3,10,PCS,594,EUR,2019-01-11,2019-01-16, ,19184589,84141246,921217,3,BR
BR10,1000049,1,88903632,MPLF,3,PCS,880,EUR,2019-01-15,2019-01-18, ,11553472,32008687,702224,1,BR
DE10,1000080,1,24567712,COLA,39,PCS,689,EUR,2019-01-25,2019-01-31, ,55463176,63821277,404413,1,DE
US10,1000062,1,55226864,PYTF,42,PCS,520,EUR,2019-01-21,2019-01-28, ,29640411,43449637,802940,1,US
US10,1000058,2,85602600,ZUFN,28,L,361,EUR,2019-01-17,2019-01-25, ,14623043,88510487,999376,1,US
JP11,1000098,1,87079640,MPLF,62,KG,332,EUR,2019-01-28,2019-01-30, ,82596334,40601709,195326,3,JP
JP11,1000075,3,79697072,ZUFN,54,PCS,710,EUR,2019-01-23,2019-01-30,x,62956606,92217720,195326,1,JP
JP11,1000076,2,28348643,ZELA,61,PCS,684,EUR,2019-01-23,2019-01-28, ,88432539,49784073,201462,1,JP
DE10,1000067,1,86662444,MPLF,51,KG,447,EUR,2019-01-21,2019-01-28, ,57122925,58569539,294346,1,DE
IN10,1000096,2,71374072,UDF3,50,PCS,293,EUR,2019-01-28,2019-01-30, ,10538316,98019339,924309,2,IN
IN10,1000082,1,24242928,COLA,64,KG,321,EUR,2019-01-25,2019-01-29, ,47982674,30090592,265886,3,IN
IN10,1000066,2,75603272,ZUFN,34,PCS,320,EUR,2019-01-21,2019-01-25, ,31380752,44488029,440944,2,IN
IN10,1000064,2,84480424,ZUFN,77,G,136,EUR,2019-01-21,2019-01-24, ,99066604,44488029,175806,1,IN
JP11,1000075,1,98147568,MPLF,45,L,996,EUR,2019-01-23,2019-01-24,x,62956606,40601709,235915,1,JP
IN10,1000069,1,88346328,MPLF,6,KG,618,EUR,2019-01-21,2019-01-25, ,17857729,49826393,440944,3,IN
IN10,1000039,2,90455123,MPLF,83,PCS,437,EUR,2019-01-14,2019-01-23,x,36618466,49826393,560374,1,IN
DE10,1000057,1,48705128,PYTF,72,KG,799,EUR,2019-01-17,2019-01-24, ,85659157,68613813,760821,1,DE
CN10,1000061,1,25235624,COLA,84,L,640,EUR,2019-01-21,2019-01-29, ,82920773,23246292,512756,1,CN
CN10,1000074,3,85602600,ZUFN,2,L,361,EUR,2019-01-25,2019-01-28, ,52557458,23344986,605373,3,CN
CN10,1000061,3,32071024,ZELA,9,KG,737,EUR,2019-01-21,2019-01-25,x,82920773,93048219,605373,1,CN
CN10,1000052,1,24567712,COLA,97,PCS,689,EUR,2019-01-18,2019-01-25, ,97846446,23246292,365102,1,CN
BR10,1000065,3,82809960,ZUFN,23,L,435,EUR,2019-01-21,2019-01-25, ,85699417,24642678,229730,1,BR
CN10,1000087,2,75904608,ZUFN,89,PCS,544,EUR,2019-01-28,2019-01-31, ,69554305,23344986,162550,1,CN
DE10,1000077,1,19474160,COLA,75,KG,986,EUR,2019-01-23,2019-01-24, ,35695942,63821277,760821,3,DE
DE10,1000067,3,55226864,PYTF,26,PCS,520,EUR,2019-01-21,2019-01-22, ,57122925,68613813,267927,1,DE
CN10,1000087,1,87079640,MPLF,3,KG,332,EUR,2019-01-28,2019-02-04, ,69554305,20837115,839400,1,CN
CN10,1000078,1,97625203,MPLF,67,KG,554,EUR,2019-01-24,2019-02-01,x,17445420,20837115,843896,3,CN
CN10,1000074,1,86457056,MPLF,56,PCS,159,EUR,2019-01-28,2019-02-01, ,52557458,20837115,843896,2,CN
CN10,1000102,2,85602600,ZUFN,63,L,361,EUR,2019-01-29,2019-02-01, ,18351645,23344986,843896,1,CN
JP11,1000099,2,75603272,ZUFN,80,PCS,320,EUR,2019-01-28,2019-02-01, ,85522996,40601709,659159,5,JP
JP11,1000092,1,24567712,COLA,93,PCS,689,EUR,2019-01-28,2019-02-01, ,46321956,33607135,659159,2,JP
JP11,1000075,2,98151444,MPLF,81,PCS,916,EUR,2019-01-23,2019-02-01, ,62956606,33607135,659159,1,JP
JP11,1000083,1,45013285,EDSA,34,KG,543,EUR,2019-01-25,2019-01-31, ,61117092,59231227,624341,1,JP
JP11,1000107,2,25235624,COLA,13,L,640,EUR,2019-01-30,2019-02-06, ,15618210,33607135,957974,3,JP
JP11,1000104,1,62792440,UDF3,41,PCS,124,EUR,2019-01-30,2019-02-06, ,35507382,79246109,957974,1,JP
IN10,1000096,1,86834912,MPLF,9,PCS,381,EUR,2019-01-28,2019-02-04, ,10538316,49826393,869750,5,IN
IN10,1000081,1,20667944,COLA,53,KG,463,EUR,2019-01-25,2019-02-04, ,93048219,98019339,869750,3,IN
IN10,1000103,1,32003616,ZELA,35,L,231,EUR,2019-01-30,2019-02-04, ,64020092,70768553,869750,1,IN
JP11,1000107,1,21595928,COLA,25,PCS,83,EUR,2019-01-30,2019-02-04, ,15618210,33607135,423874,1,JP
IN10,1000063,2,26230416,ZELA,5,PCS,190,EUR,2019-01-21,2019-01-31, ,68613813,70768553,303747,1,IN
IN10,1000081,2,44409248,EDSA,88,L,267,EUR,2019-01-25,2019-01-30, ,93048219,70768553,924309,1,IN
CN10,1000091,2,24242928,COLA,25,KG,321,EUR,2019-01-28,2019-02-07, ,25357088,23246292,372152,2,CN
IN10,1000081,4,69579592,UDF3,36,L,124,EUR,2019-01-25,2019-02-01, ,93048219,98019339,260850,2,IN
BR10,1000113,1,88346328,MPLF,75,KG,618,EUR,2019-01-31,2019-02-04, ,53834925,32008687,843265,1,BR
US10,1000093,1,88346328,MPLF,1,KG,618,EUR,2019-01-28,2019-02-05, ,91849617,81552979,822041,6,US
US10,1000116,1,97625203,MPLF,9,KG,554,EUR,2019-02-04,2019-02-05, ,66441646,81552979,822041,4,US
US10,1000115,1,43678400,EDSA,58,PCS,115,EUR,2019-02-01,2019-02-05, ,32008687,23329589,822041,3,US
US10,1000105,1,87079640,MPLF,46,KG,332,EUR,2019-01-30,2019-02-05,x,81684996,81552979,822041,1,US
US10,1000090,3,60261224,UDF3,36,KG,350,EUR,2019-01-28,2019-02-04, ,93116165,40424932,374355,3,US
US10,1000111,2,58890322,UDF3,6,PCS,813,EUR,2019-01-31,2019-02-04, ,70694805,40424932,374355,2,US
US10,1000111,1,50862632,PYTF,98,PCS,867,EUR,2019-01-31,2019-02-04, ,70694805,43449637,374355,1,US
US10,1000088,1,84480424,ZUFN,58,G,136,EUR,2019-01-31,2019-02-06, ,86863338,88510487,968449,1,US
DE10,1000106,1,88346328,MPLF,31,KG,618,EUR,2019-01-30,2019-02-05, ,40424932,47656838,567693,1,DE
DE10,1000089,2,56389144,UDF3,16,PCS,119,EUR,2019-01-28,2019-02-01, ,71678264,59321219,287318,2,DE
US10,1000073,1,32645344,EDSA,60,PCS,845,EUR,2019-01-23,2019-01-31, ,72482110,23329589,742813,1,US
BR10,1000095,1,86662444,MPLF,78,KG,447,EUR,2019-01-28,2019-02-01, ,87519661,32008687,721765,2,BR
