EBELN,EBELP,UDATE,FIELD,VALUE
100015,1,,P,670
100585,1,2019-07-01,P,1
100585,2,2019-07-05,P,324
101041,1,2023-02-01,Q,81
101304,2,2021-05-10,Q,45
101304,2,2021-05-17,P,1026
101642,1,2022-11-24,P,594
101642,1,2022-11-25,Q,94
101657,2,2020-11-16,P,959
101657,3,2020-11-16,P,4
101849,1,2019-10-09,Q,98
101849,2,2019-10-14,P,458
101849,3,2019-10-14,Q,86
102240,1,2020-07-09,Q,86
102253,1,2020-06-03,Q,37
102253,2,2020-05-29,P,902
102253,2,2020-06-02,P,871
102253,2,2020-06-03,P,861
102568,1,2022-11-14,Q,40
102980,4,2022-09-21,Q,93
103033,1,2021-04-05,P,533
103033,3,2021-04-05,P,3
103043,1,2020-12-14,Q,33
103124,1,2020-02-24,Q,7
103366,1,2020-07-03,Q,65
103497,2,2022-11-28,P,402
103783,1,2020-10-28,P,4
103783,3,2020-11-02,Q,71
103976,1,2020-07-13,Q,71
104260,1,2019-05-08,P,708
104260,2,2019-05-13,Q,23
104260,2,2019-05-13,P,1010
104529,1,2022-01-12,P,2
104529,1,2022-01-19,Q,78
104659,1,2020-11-24,Q,92
104659,3,2020-11-20,P,162
105689,1,2022-05-02,Q,2
105942,1,2022-04-26,Q,4
105942,1,2022-04-27,P,391
105942,2,2022-05-02,Q,100
106425,1,2023-02-15,P,3
106945,3,,Q,88
107029,1,2021-05-20,P,460
107029,1,2021-05-31,P,455
107029,1,2021-06-02,P,444
107029,2,2021-05-18,P,690
107029,2,2021-05-26,Q,49
107378,1,2019-07-23,Q,27
107378,2,2019-08-06,Q,39
107403,1,2021-12-20,Q,17
107549,1,2021-12-13,P,307
108014,3,2020-11-20,P,316
108129,1,2020-07-30,Q,42
108129,5,2020-07-31,Q,32
108129,5,2020-08-05,Q,28
108203,2,2020-09-07,Q,31
108238,1,2022-01-06,P,404
108364,1,2022-07-11,Q,86
108364,2,2022-07-11,P,318
108475,1,2022-12-16,P,231
108475,2,2022-12-15,P,265
108475,2,2022-12-22,P,270
108475,3,2022-12-13,Q,26
109072,2,2023-01-30,Q,69
109073,2,2019-09-30,P,987
109073,2,2019-10-03,Q,72
109413,1,2021-04-06,P,3
109413,1,2021-04-12,P,3
109413,2,2021-04-05,Q,20
109413,3,2021-04-05,P,700
110109,1,2019-04-26,P,370
110172,1,2020-08-31,P,1
110172,2,,Q,18
110172,2,,P,320
110773,2,2022-12-26,Q,17
110773,3,2022-12-14,P,347
110773,3,2022-12-19,Q,37
111588,1,2021-10-29,P,539
111588,1,2021-11-03,P,556
112403,2,2020-11-09,Q,75
112403,2,2020-11-09,P,1
112687,1,2022-02-21,P,7
112735,1,2019-02-15,P,1
112780,1,,P,341
112780,1,,Q,18
112780,1,,P,338
112973,1,2021-09-24,Q,58
113622,1,,P,708
113622,1,,P,698
113884,1,2021-03-22,P,346
114657,1,,P,159
114657,1,,P,158
114867,1,,P,707
114867,1,,P,696
115747,1,2022-12-19,Q,23
115925,1,,P,992
116007,1,2021-04-08,Q,81
116007,1,2021-04-08,P,7
116047,1,2021-07-06,P,692
116528,1,2019-02-04,Q,71
116528,1,2019-02-14,P,629
116528,1,2019-02-18,P,619
116797,3,2021-08-16,P,644
116797,4,2021-07-29,Q,84
116797,6,2021-08-20,P,255
117034,2,2019-12-27,P,945
117099,1,,Q,55
117243,1,2021-03-29,Q,9
117243,2,,P,358
117243,3,2021-03-29,P,5
117839,1,2021-05-18,P,326
118467,1,2022-11-16,P,5
119208,1,2022-02-21,P,6
119918,2,2019-08-08,Q,9
120107,1,2022-01-28,P,420
120214,1,,Q,68
120286,1,2019-07-15,P,384
121213,1,2021-04-22,P,222
121213,2,2021-04-23,Q,100
121213,3,2021-04-26,P,782
121240,1,2021-10-05,P,375
121572,1,2019-02-18,Q,8
121658,2,2021-01-04,Q,90
121658,2,2021-01-04,P,433
122032,1,2019-04-29,Q,30
123123,1,2022-09-26,P,677
123123,1,2022-10-05,Q,27
123123,3,2022-10-03,P,344
123123,3,2022-10-03,P,333
123137,2,2021-08-13,P,1028
123137,2,2021-08-18,P,988
123236,1,2022-03-07,P,691
123588,1,2021-05-13,P,7
123602,1,2020-08-24,Q,77
123983,1,2020-04-13,P,553
124022,1,2020-03-24,Q,20
124022,1,2020-03-25,P,3
124022,2,2020-03-23,P,5
124022,2,2020-03-31,Q,57
124635,1,2020-10-08,Q,3
124635,2,2020-10-05,Q,80
124635,3,2020-10-08,P,904
125124,1,2020-10-19,Q,64
125124,1,2020-10-19,Q,59
125382,2,2023-02-03,P,524
126171,1,2022-11-21,Q,61
126962,3,,Q,46
126962,3,,P,452
127063,1,2022-05-17,Q,88
127323,1,2020-07-17,P,5
128151,1,2021-03-29,P,939
129039,1,2021-08-18,Q,8
129570,1,2019-07-02,P,658
129570,2,2019-06-26,Q,40
129639,2,2020-01-29,Q,95
129639,2,2020-02-03,P,582
129639,2,2020-02-03,P,568
130168,2,,Q,49
130178,1,2022-01-11,Q,65
130178,1,2022-01-12,P,5
130178,1,2022-01-14,P,5
130354,1,2021-03-11,Q,59
130735,2,2021-06-04,P,156
131683,4,2022-11-28,Q,72
131683,4,2022-12-05,Q,72
132143,2,2020-04-01,Q,60
132143,2,2020-04-06,P,135
132143,3,2020-04-17,Q,52
133379,1,2022-07-04,P,649
133379,1,2022-07-14,Q,24
133551,1,2021-08-11,Q,55
133551,1,2021-08-11,P,544
