WERKS,EBELN,AEDAT
BR10,578824,2019-01-08
DE10,592976,2019-01-11
DE10,749334,2019-01-10
DE10,398535,2019-01-08
CN10,575220,2019-01-08
CN10,460406,2019-01-09
CN10,207781,2019-01-11
IN10,577063,2019-01-11
JP11,379536,2019-01-04
JP11,647607,2019-01-07
JP11,152248,2019-01-09
JP11,477955,2019-01-10
US10,430420,2019-01-08
US10,571629,2019-01-09
US10,258514,2019-01-10
BR10,215278,2019-01-09
IN10,831433,2019-01-16
JP11,554894,2019-01-16
JP11,363671,2019-01-15
JP11,588715,2019-01-14
JP11,377186,2019-01-11
CN10,691504,2019-01-17
BR10,296252,2019-01-16
BR10,303889,2019-01-11
BR10,786355,2019-01-14
BR10,561710,2019-01-15
CN10,321177,2019-01-14
CN10,224086,2019-01-15
US10,727448,2019-01-18
US10,132541,2019-01-16
US10,158330,2019-01-14
US10,347658,2019-01-11
IN10,416457,2019-01-14
BR10,756237,2019-01-18
IN10,841647,2019-01-15
DE10,383407,2019-01-17
DE10,895624,2019-01-15
CN10,884627,2019-01-18
CN10,675099,2019-01-22
IN10,339696,
IN10,126433,
CN10,454895,2019-01-24
IN10,244595,2019-01-17
CN10,365102,2019-01-25
CN10,815616,2019-01-23
DE10,760821,2019-01-25
IN10,732015,2019-01-23
BR10,489716,2019-01-25
DE10,279442,2019-01-22
DE10,261376,2019-01-18
US10,778340,2019-01-24
US10,717681,2019-01-21
JP11,242141,2019-01-21
JP11,413357,
JP11,626066,2019-01-17
BR10,921217,2019-01-17
BR10,702224,2019-01-21
CN10,852927,2019-01-16
DE10,404413,2019-02-01
US10,556540,2019-01-30
IN10,560374,
US10,802940,2019-01-29
US10,999376,2019-01-28
JP11,195326,
JP11,177017,2019-01-30
JP11,201462,2019-01-29
DE10,294346,2019-01-29
IN10,924309,2019-01-31
IN10,265886,2019-01-30
IN10,865452,2019-01-29
IN10,440944,2019-01-28
IN10,175806,2019-01-25
CN10,512756,2019-01-30
CN10,154539,2019-01-29
CN10,605373,2019-01-28
BR10,229730,2019-01-28
BR10,347919,2019-01-24
CN10,162550,2019-02-01
CN10,116528,2019-01-31
DE10,267927,2019-01-23
IN10,856661,2019-02-06
BR10,480789,2019-02-06
CN10,839400,2019-02-05
CN10,843896,
JP11,659159,2019-02-04
JP11,624341,2019-02-01
JP11,957974,2019-02-07
CN10,595261,2019-02-07
IN10,869750,2019-02-05
JP11,423874,2019-02-05
IN10,260850,2019-02-04
IN10,303747,2019-02-01
IN10,210861,2019-02-08
CN10,372152,2019-02-08
BR10,843265,2019-02-05
US10,822041,
US10,374355,2019-02-05
US10,968449,2019-02-04
DE10,567693,2019-02-06
DE10,287318,2019-02-04
US10,742813,2019-02-01
BR10,721765,2019-02-04
BR10,758060,2019-01-31
BR10,448584,2019-02-01
BR10,408896,2019-01-30
DE10,597012,2019-01-31
US10,806024,2019-02-12
US10,750979,2019-02-11
US10,190087,2019-02-08
US10,112735,2019-02-07
CN10,247630,
BR10,329073,
BR10,518504,2019-02-11
BR10,178789,2019-02-08
BR10,499201,2019-02-07
JP11,715194,2019-02-08
CN10,169765,2019-02-12
CN10,398212,2019-02-15
CN10,996569,
IN10,542085,2019-02-12
IN10,896086,2019-02-11
IN10,940088,2019-02-07
DE10,850635,2019-02-07
US10,209192,2019-02-18
DE10,953803,2019-02-21
BR10,435148,2019-02-22
IN10,878392,
BR10,486016,2019-02-21
IN10,121572,2019-02-15
US10,222604,2019-02-19
US10,500717,2019-02-21
