WERKS,BANFN,BNFPO,MATNR,MATKL,MENGE,MEINS,NETPR,PEINH,BADAT,FRGDT,LOEKZ,ERNAM,PERNR,EBELN,EBELP,LAND1
JP11,1005005,2,77128608,ZUFN,62,PCS,606,EUR,2023-03-02,2023-03-08, ,27335411,70110687,316823,2,JP
JP11,1005020,2,88797376,MPLF,68,PCS,6,EUR,2023-03-06,2023-03-09, ,31759289,40601709,914275,3,JP
JP11,1005005,1,58200280,UDF3,19,PCS,335,EUR,2023-03-02,2023-03-09, ,27335411,79246109,914275,4,JP
IN10,1005002,2,44409248,EDSA,22,L,267,EUR,2023-03-02,2023-03-03, ,23798159,86162838,795441,1,IN
IN10,1005001,2,86834912,MPLF,55,PCS,381,EUR,2023-03-02,2023-03-06, ,58569539,49826393,570990,1,IN
DE10,1005008,4,28440760,ZELA,72,PCS,603,EUR,2023-03-03,2023-03-06, ,94126065,79833202,235814,1,DE
IN10,1005001,1,24242928,COLA,23,KG,321,EUR,2023-03-02,2023-03-08, ,58569539,30090592,205317,1,IN
BR10,1005007,1,78949416,ZUFN,70,PCS,991,EUR,2023-03-03,2023-03-06, ,27775137,24642678,238152,2,BR
IN10,1005019,1,32003616,ZELA,20,L,231,EUR,2023-03-08,2023-03-17, ,25357088,49826393,205317,4,IN
CN10,1005037,1,86457056,MPLF,32,PCS,159,EUR,2023-03-10,2023-03-15, ,20270620,20837115,411107,1,CN
IN10,1005066,2,77128608,ZUFN,24,PCS,606,EUR,2023-03-16,2023-03-21, ,49077674,98019339,645769,6,IN
IN10,1005066,1,98151444,MPLF,73,PCS,916,EUR,2023-03-10,2023-03-15,x,49077674,49826393,645769,5,IN
IN10,1005062,1,35470001,EDSA,70,KG,235,EUR,2023-03-09,2023-03-14,x,40601709,86162838,258933,3,IN
IN10,1005052,1,22818912,COLA,31,KG,636,EUR,2023-03-08,2023-03-15, ,47570626,44155404,645769,3,IN
IN10,1005080,1,87079640,MPLF,93,KG,332,EUR,2023-03-13,2023-03-15, ,67295445,49826393,645769,8,IN
JP11,1005020,1,25235624,COLA,57,L,640,EUR,2023-03-15,2023-03-21, ,31759289,33607135,316823,1,JP
US10,1005012,2,85602600,ZUFN,93,L,361,EUR,2023-03-06,2023-03-09, ,42900809,88510487,304424,1,US
US10,1005009,1,88797376,MPLF,10,PCS,6,EUR,2023-03-03,2023-03-08,x,86104769,81552979,451549,4,US
US10,1005033,1,43151008,EDSA,58,PCS,554,EUR,2023-03-06,2023-03-08, ,21310337,23329589,451549,3,US
US10,1005003,1,90455123,MPLF,24,PCS,437,EUR,2023-03-02,2023-03-08, ,23818469,81552979,451549,1,US
US10,1005009,2,88903632,MPLF,83,PCS,880,EUR,2023-03-03,2023-03-07, ,86104769,23329589,791064,1,US
JP11,1005043,1,24567712,COLA,59,PCS,689,EUR,2023-03-07,2023-03-14, ,87386017,33607135,509631,2,JP
JP11,1005016,1,89034752,MPLF,24,PCS,726,EUR,2023-03-06,2023-03-14, ,77597329,40601709,509631,1,JP
JP11,1005016,2,28440760,ZELA,78,PCS,603,EUR,2023-03-06,2023-03-13, ,77597329,49784073,606125,1,JP
JP11,1005031,1,97625203,MPLF,8,KG,554,EUR,2023-03-06,2023-03-10, ,20910031,40601709,341834,2,JP
JP11,1005043,2,89034752,MPLF,17,PCS,726,EUR,2023-03-07,2023-03-08, ,87386017,40601709,316823,3,JP
IN10,1005002,1,19474160,COLA,3,KG,986,EUR,2023-03-02,2023-03-08,x,23798159,30090592,205317,2,IN
DE10,1005017,1,54836888,PYTF,72,PCS,389,EUR,2023-03-06,2023-03-08, ,42053617,68613813,140512,1,DE
DE10,1005010,2,28440760,ZELA,21,PCS,603,EUR,2023-03-03,2023-03-07, ,82699860,79833202,185644,5,DE
DE10,1005008,2,87079640,MPLF,31,KG,332,EUR,2023-03-03,2023-03-07, ,94126065,47656838,185644,3,DE
DE10,1005006,1,51088568,PYTF,28,PCS,234,EUR,2023-03-02,2023-03-07, ,17561687,68613813,185644,1,DE
CN10,1005028,2,75603272,ZUFN,27,PCS,320,EUR,2023-03-06,2023-03-16, ,18814800,23344986,875533,1,CN
CN10,1005011,1,88346328,MPLF,18,KG,618,EUR,2023-03-03,2023-03-07, ,21937291,20837115,357077,1,CN
CN10,1005035,2,83863032,ZUFN,22,G,263,EUR,2023-03-06,2023-03-10, ,95183482,23344986,906745,2,CN
CN10,1005035,1,28440760,ZELA,96,PCS,603,EUR,2023-03-06,2023-03-13, ,95183482,93048219,692604,2,CN
CN10,1005067,3,78949416,ZUFN,7,PCS,991,EUR,2023-03-10,2023-03-14, ,25521185,23344986,160014,3,CN
CN10,1005068,2,54965832,PYTF,53,G,77,EUR,2023-03-10,2023-03-14, ,18577068,12948061,160014,4,CN
CN10,1005056,1,89034752,MPLF,16,PCS,726,EUR,2023-03-08,2023-03-15, ,46532170,49485597,306143,1,CN
DE10,1005008,1,25398208,COLA,99,PCS,504,EUR,2023-03-03,2023-03-09, ,94126065,63821277,907236,3,DE
IN10,1005025,1,88346328,MPLF,52,KG,618,EUR,2023-03-13,2023-03-20, ,38071817,49826393,145020,2,IN
IN10,1005021,1,45013285,EDSA,9,KG,543,EUR,2023-03-06,2023-03-09, ,23329589,86162838,145020,1,IN
DE10,1005047,2,85602600,ZUFN,56,L,361,EUR,2023-03-07,2023-03-14, ,61569751,65550769,534109,1,DE
DE10,1005055,2,62792440,UDF3,12,PCS,124,EUR,2023-03-08,2023-03-13, ,49781629,59321219,430937,4,DE
DE10,1005032,1,93159896,MPLF,15,PCS,159,EUR,2023-03-06,2023-03-13, ,61117092,47656838,430937,3,DE
DE10,1005024,3,26857600,ZELA,34,PCS,453,EUR,2023-03-06,2023-03-13, ,86489593,79833202,430937,2,DE
DE10,1005010,1,24567712,COLA,81,PCS,689,EUR,2023-03-03,2023-03-10, ,82699860,63821277,122975,3,DE
US10,1005027,1,53640144,PYTF,53,PCS,488,EUR,2023-03-06,2023-03-10,x,21310337,43449637,601457,1,US
CN10,1005078,2,56389144,UDF3,33,PCS,119,EUR,2023-03-13,2023-03-15, ,84718420,71417158,306143,3,CN
US10,1005058,1,93159896,MPLF,63,PCS,159,EUR,2023-03-08,2023-03-10, ,18407205,81552979,601457,3,US
BR10,1005085,2,56831936,UDF3,63,G,964,EUR,2023-03-13,2023-03-16, ,56417381,89359211,740599,3,BR
US10,1005061,1,25150904,COLA,43,PCS,976,EUR,2023-03-09,2023-03-14, ,98215505,22179495,500628,1,US
US10,1005041,1,28348643,ZELA,18,PCS,684,EUR,2023-03-07,2023-03-10, ,29137563,56417381,601457,2,US
BR10,1005089,2,83863032,ZUFN,44,G,263,EUR,2023-03-13,2023-03-14, ,60223748,24642678,415206,3,BR
BR10,1005040,2,62792440,UDF3,85,PCS,124,EUR,2023-03-07,2023-03-13, ,13453247,89359211,762417,1,BR
BR10,1005034,2,25398208,COLA,86,PCS,504,EUR,2023-03-06,2023-03-09, ,44155404,53251766,565211,3,BR
US10,1005096,2,58200280,UDF3,34,PCS,335,EUR,2023-03-13,2023-03-15, ,42049506,40424932,708823,1,US
US10,1005061,2,48075088,PYTF,28,KG,353,EUR,2023-03-09,2023-03-10, ,98215505,43449637,601457,4,US
BR10,1005004,1,97625203,MPLF,95,KG,554,EUR,2023-03-02,2023-03-09, ,24642678,32008687,565211,1,BR
US10,1005053,1,64963528,UDF3,96,KG,702,EUR,2023-03-08,2023-03-13, ,14516278,40424932,271928,6,US
US10,1005042,1,32003616,ZELA,40,L,231,EUR,2023-03-07,2023-03-13, ,27714088,56417381,271928,5,US
US10,1005063,1,87079640,MPLF,30,KG,332,EUR,2023-03-09,2023-03-10, ,27072007,81552979,601457,5,US
US10,1005012,1,88346328,MPLF,93,KG,618,EUR,2023-03-06,2023-03-13, ,42900809,81552979,271928,1,US
BR10,1005034,1,25235624,COLA,66,L,640,EUR,2023-03-06,2023-03-09, ,44155404,53251766,565211,2,BR
US10,1005136,3,76304544,ZUFN,67,PCS,692,EUR,2023-03-20,2023-03-23,x,32856039,23329589,316266,3,US
DE10,1005143,2,88797376,MPLF,83,PCS,6,EUR,2023-03-20,2023-03-23, ,42114537,47656838,589861,5,DE
DE10,1005115,1,58890322,UDF3,46,PCS,813,EUR,2023-03-16,2023-03-22, ,68041376,59321219,360575,1,DE
DE10,1005073,2,48705128,PYTF,64,KG,799,EUR,2023-03-13,2023-03-20, ,48451268,68613813,896930,1,DE
DE10,1005100,1,37141432,EDSA,88,PCS,474,EUR,2023-03-14,2023-03-17, ,35471099,58569539,706201,3,DE
US10,1005108,1,88346328,MPLF,86,KG,618,EUR,2023-03-15,2023-03-21, ,41977120,81552979,824055,1,US
US10,1005059,1,45013285,EDSA,34,KG,543,EUR,2023-03-09,2023-03-21, ,13848588,23329589,824055,7,US
US10,1005015,1,89034752,MPLF,10,PCS,726,EUR,2023-03-06,2023-03-20,x,66145879,81552979,156136,5,US
US10,1005090,2,69909608,UDF3,9,PCS,990,EUR,2023-03-13,2023-03-20,x,78847324,40424932,156136,6,US
US10,1005090,3,77128608,ZUFN,12,PCS,606,EUR,2023-03-13,2023-03-20, ,78847324,81552979,156136,7,US
US10,1005099,2,58890322,UDF3,30,PCS,813,EUR,2023-03-13,2023-03-20, ,14516278,40424932,156136,8,US
IN10,1005051,2,75904608,ZUFN,19,PCS,544,EUR,2023-03-08,2023-03-15, ,31380085,44488029,645769,2,IN
US10,1005069,1,24242928,COLA,91,KG,321,EUR,2023-03-10,2023-03-21, ,35507382,22179495,824055,9,US
IN10,1005021,2,97625203,MPLF,73,KG,554,EUR,2023-03-06,2023-03-15, ,23329589,30090592,645769,1,IN
DE10,1005081,4,69579592,UDF3,57,L,124,EUR,2023-03-13,2023-03-16, ,42012916,59321219,842565,2,DE
IN10,1005050,1,49790248,PYTF,96,PCS,700,EUR,2023-03-16,2023-03-22, ,47570626,87940829,258933,2,IN
US10,1005118,1,19474160,COLA,70,KG,986,EUR,2023-03-17,2023-03-21, ,65427322,22179495,824055,2,US
US10,1005139,1,89034752,MPLF,8,PCS,726,EUR,2023-03-20,2023-03-21, ,10989829,81552979,824055,5,US
DE10,1005081,1,25235624,COLA,45,L,640,EUR,2023-03-13,2023-03-16, ,42012916,63821277,842565,1,DE
DE10,1005073,1,87079640,MPLF,64,KG,332,EUR,2023-03-13,2023-03-15, ,48451268,47656838,298975,4,DE
CN10,1005067,1,24242928,COLA,25,KG,321,EUR,2023-03-10,2023-03-14, ,25521185,23246292,160014,2,CN
BR10,1005105,1,21595928,COLA,86,PCS,83,EUR,2023-03-14,2023-03-16, ,61568536,53251766,740599,1,BR
BR10,1005048,1,48075088,PYTF,37,KG,353,EUR,2023-03-08,2023-03-16, ,22853503,51619782,740599,2,BR
