WERKS,EBELN,EBELP,MATNR,MATKL,LIFNR,RKDST,MENGE,DELGE,MEINS,NETPR,PEINH,DRDAT,LEWED,SEDAT,LCWED,ITDAT,LOEKE,ELIKZ,EKNAM,EKRNR,BANFN,BNFPO,BELNR,BUZEI
BR10,238152,1,11788404,TPM1,30003467,,46,46,PCS,6,EUR,2023-03-08,2023-03-09,2023-03-10,2023-03-16,2023-03-16, ,x,49784073,36618466,1005004,2,7903462,1
JP11,316823,2,77128608,ZUFN,47017350,x,60,60,PCS,607,EUR,2023-03-10,2023-03-17,2023-03-17,2023-03-22,2023-03-22, ,x,23246292,64581196,1005005,2,9702825,1
JP11,914275,3,88797376,MPLF,50759436,x,68,68,PCS,6,EUR,2023-03-10,2023-03-17,2023-03-17,2023-03-24,2023-03-24, ,x,26820541,10869462,1005020,2,6025423,1
JP11,914275,4,58200280,UDF3,50759436,x,19,19,PCS,335,EUR,2023-03-10,2023-03-17,2023-03-17,2023-03-24,2023-03-24, ,x,26820541,10869462,1005005,1,6025423,2
IN10,795441,1,44409248,EDSA,48114031,x,18,18,L,276,EUR,2023-03-07,2023-03-14,2023-03-14,2023-03-20,2023-03-20, ,x,34351663,88432539,1005002,2,8458256,1
DE10,185644,4,10615744,TPM1,30003467,,24,24,PCS,5,EUR,2023-03-08,2023-03-09,2023-03-10,2023-03-16,2023-03-16, ,x,78847324,15618210,1005008,3,6821447,1
IN10,570990,1,86834912,MPLF,43088822,x,55,55,PCS,381,EUR,2023-03-08,2023-03-15,2023-03-15,2023-03-20,2023-03-20, ,x,31380085,20887554,1005001,2,8739358,1
DE10,185644,2,16177764,TPM1,30002348,,10,10,KG,4,EUR,2023-03-10,,,,,x,x,78847324,15618210,1005006,3,,
DE10,235814,1,28440760,ZELA,32519746,x,72,72,PCS,603,EUR,2023-03-07,2023-03-13,2023-03-13,2023-03-15,2023-03-15, ,x,26753334,82920773,1005008,4,9129545,1
IN10,934233,2,16177764,TPM1,30002348,,82,82,KG,4,EUR,2023-03-10,2023-03-13,2023-03-14,2023-03-17,2023-03-22, ,x,32760476,44155404,1005002,3,6041935,2
IN10,934233,3,25398208,COLA,48114031,x,3,3,PCS,517,EUR,2023-03-14,2023-03-15,2023-03-15,2023-03-17,2023-03-17, ,x,32760476,44155404,1005022,1,8458256,2
IN10,934233,1,18608880,TPM1,30002348,,35,35,PCS,1,EUR,2023-03-08,2023-03-09,2023-03-09,2023-03-15,2023-03-15, ,x,32760476,44155404,1005001,3,6041935,1
CN10,399173,1,16177764,TPM1,30002348,,70,70,KG,4,EUR,2023-03-10,2023-03-13,2023-03-14,2023-03-17,2023-03-22, ,x,22179495,83978021,1005046,1,8373140,1
IN10,205317,1,24242928,COLA,34702906,x,23,23,KG,321,EUR,2023-03-10,2023-03-17,2023-03-17,2023-03-23,2023-03-23, ,x,60935037,65521925,1005001,1,5932337,1
US10,485202,1,17231232,TPM1,30002348,,53,53,PCS,5,EUR,2023-03-10,2023-03-13,2023-03-14,2023-03-17,2023-03-22, ,x,52638817,54869167,1005003,2,5656455,1
BR10,238152,2,78949416,ZUFN,53847241,x,70,70,PCS,991,EUR,2023-03-07,2023-03-08,2023-03-08,2023-03-10,2023-03-10, ,x,49784073,36618466,1005007,1,7931976,1
IN10,205317,3,18608880,TPM1,30002348,,84,80,PCS,1,EUR,2023-03-15,2023-03-10,2023-03-10,2023-03-16,2023-03-16, ,x,60935037,65521925,1005002,4,6041935,3
US10,451549,2,16177764,TPM1,30002348,,89,89,KG,4,EUR,2023-03-10,2023-03-13,2023-03-14,2023-03-17,2023-03-22, ,x,64389461,39024132,1005027,2,5656455,2
IN10,205317,4,32003616,ZELA,32952574,x,20,20,L,231,EUR,2023-03-09,2023-03-15,2023-03-15,2023-03-20,2023-03-20, ,x,60935037,65521925,1005019,1,8966670,1
CN10,411107,1,86457056,MPLF,53847241,x,32,32,PCS,163,EUR,2023-03-10,2023-03-17,2023-03-17,2023-03-23,2023-03-23, ,x,92217720,39937440,1005037,1,5989336,1
IN10,205317,5,17231232,TPM1,30002348,,49,49,PCS,5,EUR,2023-03-10,2023-03-13,2023-03-14,2023-03-17,2023-03-22, ,x,60935037,65521925,1005030,1,6041935,4
IN10,645769,7,10615744,TPM1,30003467,,50,50,PCS,5,EUR,2023-03-17,2023-03-20,2023-03-20,2023-03-27,2023-04-03, ,x,79848143,61568536,1005076,1,7119569,5
IN10,645769,6,77128608,ZUFN,47017350,x,24,24,PCS,606,EUR,2023-03-16,2023-03-23,2023-03-23,2023-03-28,2023-03-31, ,x,79848143,61568536,1005066,2,7604999,1
IN10,645769,5,98151444,MPLF,43088822,x,73,73,PCS,890,EUR,2023-03-20,2023-03-24,2023-03-24,2023-03-30,2023-03-30, ,x,79848143,61568536,1005066,1,7566986,1
IN10,258933,3,35470001,EDSA,35101221,x,70,70,KG,235,EUR,,,,,, ,x,47541422,53251766,1005062,1,,
IN10,645769,3,22818912,COLA,50759436,x,35,35,KG,636,EUR,2023-03-27,,,,,x,x,79848143,61568536,1005052,1,,
IN10,258933,1,11159536,TPM1,30003467,,47,47,PCS,1,EUR,2023-03-16,,,,,x,x,47541422,53251766,1005021,3,,
