WERKS,BELNR,BLDAT,BUDAT,BPDAT,EREKZ,LIFNR,BLOCK,RLOCK
BR10,8262319,2019-01-28,2019-02-18,2019-02-01,x,30003467,,
DE10,7705355,2019-01-28,2019-02-18,2019-02-04,x,30002348,,
DE10,6554358,2019-01-28,2019-02-18,2019-02-19,x,30003467,,
CN10,8886618,2019-01-28,2019-02-18,2019-02-25,x,30002348,,
IN10,6678590,2019-01-16,2019-02-06,2019-01-30,x,32519746,,
JP11,7525859,2019-01-28,2019-02-18,2019-02-15,x,73419740,,
JP11,7920403,2019-01-28,2019-02-18,2019-02-04,x,32519746,,
JP11,6281347,2019-01-28,2019-02-18,2019-02-13,x,30003467,,
US10,9364303,2019-01-28,2019-02-18,2019-01-31,x,47017350,,
US10,8226110,2019-01-28,2019-02-18,2019-02-04,x,34702906,,
US10,6094850,2019-01-28,2019-02-18,2019-02-14,x,30002348,,
US10,8637508,2019-01-21,2019-02-11,2019-02-18,x,73419740,2019-01-28,2019-02-05
JP11,6119306,2019-01-28,2019-02-18,2019-02-07,x,48114031,,
BR10,5872954,2019-01-28,2019-02-18,2019-02-05,x,53847241,,
JP11,5842542,2019-02-05,2019-02-26,2019-02-11,x,30002348,,
IN10,5052152,2019-02-05,2019-02-26,2019-02-20,x,73419740,2019-02-08,2019-02-18
JP11,5725897,2019-02-05,2019-02-26,2019-02-12,x,32519746,,
JP11,8744066,2019-02-05,2019-02-26,2019-02-12,x,48114031,,
JP11,6027239,2019-02-05,2019-02-26,2019-02-08,x,50759436,,
JP11,7563823,2019-02-05,2019-02-26,2019-02-26,x,30003467,,
JP11,6623538,2019-02-05,2019-02-26,2019-02-12,x,74997556,,
JP11,4943708,2019-02-05,2019-02-26,2019-02-13,x,32952574,,
CN10,9493257,2019-01-17,2019-02-07,2019-02-01,x,32519746,,
DE10,7007579,2019-02-05,2019-02-26,2019-02-26,x,30003467,,
BR10,8790516,2019-02-05,2019-02-26,2019-02-27,x,30003467,,
DE10,7766228,2019-02-05,2019-02-26,2019-02-12,x,34702906,,
BR10,6753886,2019-02-05,2019-02-26,2019-02-22,x,43088822,,
CN10,5473913,2019-02-05,2019-02-26,2019-02-14,x,53847241,,
BR10,6126707,2019-02-05,2019-02-26,2019-02-26,x,30002348,,
BR10,7624312,2019-02-05,2019-02-26,2019-02-07,x,32519746,,
CN10,5822578,2019-02-05,2019-02-26,2019-03-01,x,30002348,,
IN10,9282345,2019-02-05,2019-02-26,2019-02-08,x,43088822,,
IN10,7225549,2019-01-30,2019-02-20,2019-02-26,x,55553693,2019-02-11,2019-02-18
CN10,7753335,2019-02-05,2019-02-26,2019-02-13,x,43088822,,
BR10,8989370,2019-02-05,2019-02-26,2019-02-14,x,38334498,,
IN10,6464969,2019-02-05,2019-02-26,2019-02-14,x,30003467,,
US10,8357714,2019-02-05,2019-02-26,2019-02-13,x,50759436,,
DE10,5913258,2019-02-05,2019-02-26,2019-02-18,x,30002348,,
US10,8074725,2019-02-05,2019-02-26,2019-02-18,x,30003467,,
US10,5346571,2019-02-05,2019-02-26,2019-02-20,x,30002348,,
US10,6844440,2019-02-05,2019-02-26,2019-02-18,x,55553693,,
US10,5442229,2019-02-05,2019-02-26,2019-02-18,x,34702906,,
IN10,8393693,2019-02-05,2019-02-26,2019-02-27,x,53847241,,
IN10,8539745,2019-01-21,2019-02-11,2019-02-18,x,30002348,,
DE10,5762090,2019-02-05,2019-02-26,2019-02-22,x,35101221,,
DE10,9526577,2019-02-05,2019-02-26,2019-02-20,x,48114031,,
DE10,8107959,2019-02-05,2019-02-26,2019-02-13,x,50759436,,
US10,6474115,2019-02-05,2019-02-26,2019-02-11,x,70920548,,
CN10,9165416,2019-02-13,2019-03-06,2019-03-01,x,30003467,,
CN10,7890208,2019-01-25,2019-02-15,2019-02-11,x,30002348,,
IN10,6957885,2019-02-13,2019-03-06,2019-02-19,x,50759436,,
IN10,5779099,2019-01-29,2019-02-19,2019-02-18,x,38334498,2019-02-07,2019-02-14
IN10,5649200,2019-02-13,2019-03-06,2019-03-11,x,30002348,,
IN10,7380854,2019-02-13,2019-03-06,2019-02-26,x,30003467,,
CN10,7332674,2019-02-13,2019-03-06,2019-03-04,x,34702906,2019-02-21,2019-02-27
IN10,8692296,2019-02-05,2019-02-26,2019-02-11,x,53847241,,
DE10,8163795,2019-02-13,2019-03-06,2019-02-26,x,74997556,,
BR10,7142459,2019-02-13,2019-03-06,2019-02-26,x,43088822,,
DE10,8589045,2019-02-13,2019-03-06,2019-02-27,x,30002348,2019-02-20,2019-02-25
DE10,9358481,2019-02-13,2019-03-06,2019-03-12,x,30003467,,
DE10,9375600,2019-02-13,2019-03-06,2019-03-06,x,43088822,,
DE10,5281257,2019-02-13,2019-03-06,2019-03-04,x,32952574,,
US10,6700709,2019-02-13,2019-03-06,2019-02-27,x,53847241,2019-02-18,2019-02-21
US10,6938608,2019-02-13,2019-03-06,2019-02-26,x,30002348,,
US10,9665569,2019-02-13,2019-03-06,2019-02-27,x,48114031,,
US10,6661813,2019-02-13,2019-03-06,2019-02-27,x,30003467,,
BR10,6149547,2019-02-13,2019-03-06,2019-03-13,x,30003467,,
BR10,8891905,2019-02-13,2019-03-06,2019-03-05,x,30002348,,
JP11,7504748,2019-02-13,2019-03-06,2019-02-20,x,47017350,,
JP11,9722039,2019-02-13,2019-03-06,2019-03-04,x,30003467,,
JP11,8642125,2019-02-13,2019-03-06,2019-02-28,x,78411205,2019-02-18,2019-02-25
BR10,9445875,2019-02-13,2019-03-06,2019-02-26,x,41420829,,
BR10,6539865,2019-02-13,2019-03-06,2019-02-21,x,35101221,,
DE10,7986182,2019-02-20,2019-03-13,2019-02-27,x,35101221,,
US10,5099274,2019-02-20,2019-03-13,2019-03-07,x,30003467,,
IN10,9323606,2019-02-13,2019-03-06,2019-03-05,x,48114031,,
US10,7736907,2019-02-20,2019-03-13,2019-03-06,x,30002348,,
US10,6221836,2019-02-20,2019-03-13,2019-03-12,x,70920548,,
US10,5292641,2019-02-20,2019-03-13,2019-03-14,x,50759436,,
JP11,5212640,2019-02-20,2019-03-13,2019-03-15,x,30002348,,
JP11,8239102,2019-02-20,2019-03-13,2019-02-28,x,41420829,,
JP11,6632580,2019-02-11,2019-03-04,2019-02-25,x,53847241,,
DE10,6515623,2019-02-20,2019-03-13,2019-03-08,x,50759436,2019-02-25,2019-02-27
IN10,7500089,2019-02-20,2019-03-13,2019-03-01,x,34702906,,
IN10,7263415,2019-02-11,2019-03-04,2019-02-25,x,30002348,,
IN10,8003318,2019-02-20,2019-03-13,2019-03-18,x,30003467,2019-03-04,2019-03-11
IN10,7736685,2019-02-20,2019-03-13,2019-03-01,x,50759436,,
IN10,6373903,2019-02-20,2019-03-13,2019-03-07,x,47017350,,
IN10,5721775,2019-02-13,2019-03-06,2019-02-21,x,38334498,,
