WERKS,BELNR,BUZEI,MATNR,MATKL,MENGE,MEINS,NETPR,PEINH,EBELN,EBELP
BR10,8262319,1,10615744,TPM1,48,PCS,5,EUR,578824,1
DE10,7705355,2,16177764,TPM1,79,KG,4,EUR,592976,3
DE10,7705355,1,17231232,TPM1,67,PCS,5,EUR,749334,1
DE10,6554358,1,11788404,TPM1,12,PCS,6,EUR,398535,1
CN10,8886618,1,18608880,TPM1,67,PCS,1,EUR,575220,1
CN10,8886618,2,17231232,TPM1,29,PCS,5,EUR,460406,2
CN10,8886618,3,16177764,TPM1,74,KG,4,EUR,207781,2
IN10,6678590,1,98147568,MPLF,88,L,1023,EUR,577063,1
JP11,7525859,1,40378320,EDSA,46,PCS,605,EUR,379536,1
JP11,7920403,1,47767912,PYTF,93,PCS,915,EUR,647607,1
JP11,6281347,1,11159536,TPM1,66,PCS,1,EUR,152248,2
US10,9364303,1,75603272,ZUFN,79,PCS,320,EUR,430420,1
US10,8226110,1,58890322,UDF3,54,PCS,813,EUR,571629,1
US10,6094850,1,19297648,TPM1,49,PCS,2,EUR,258514,1
US10,8637508,1,40378320,EDSA,62,PCS,605,EUR,258514,2
JP11,6119306,1,88346328,MPLF,79,KG,618,EUR,152248,1
BR10,5872954,1,86457056,MPLF,73,PCS,159,EUR,215278,1
JP11,5842542,1,17231232,TPM1,23,PCS,5,EUR,477955,3
IN10,5052152,1,60261224,UDF3,7,KG,350,EUR,831433,2
JP11,5725897,1,28440760,ZELA,43,PCS,603,EUR,554894,3
JP11,8744066,2,25398208,COLA,20,PCS,504,EUR,554894,2
JP11,6027239,1,86662444,MPLF,29,KG,447,EUR,554894,1
JP11,7563823,4,11788404,TPM1,73,PCS,6,EUR,363671,2
JP11,6623538,1,50862632,PYTF,40,PCS,849,EUR,363671,1
JP11,8744066,1,32645344,EDSA,89,PCS,845,EUR,588715,3
JP11,7563823,3,11788404,TPM1,97,PCS,6,EUR,588715,2
JP11,4943708,1,19816724,COLA,26,PCS,547,EUR,588715,1
JP11,7563823,2,13505536,TPM1,38,PCS,7,EUR,377186,2
JP11,5842542,2,18608880,TPM1,13,PCS,1,EUR,377186,1
CN10,9493257,1,98147568,MPLF,50,L,996,EUR,691504,1
DE10,7007579,1,13405872,TPM1,18,PCS,3,EUR,749334,3
BR10,8790516,3,10615744,TPM1,88,PCS,5,EUR,296252,1
DE10,7766228,1,43151008,EDSA,93,PCS,554,EUR,749334,2
BR10,8790516,1,13505536,TPM1,87,PCS,7,EUR,303889,1
BR10,6753886,1,98151444,MPLF,49,PCS,916,EUR,303889,2
BR10,8790516,2,13405872,TPM1,76,PCS,3,EUR,786355,1
CN10,5473913,1,86457056,MPLF,86,PCS,159,EUR,460406,1
BR10,6126707,1,18608880,TPM1,40,PCS,1,EUR,561710,1
BR10,7624312,1,28440760,ZELA,89,PCS,603,EUR,561710,2
CN10,5822578,1,18608880,TPM1,17,PCS,1,EUR,321177,1
CN10,5822578,2,16177764,TPM1,94,KG,4,EUR,224086,1
JP11,7563823,1,13405872,TPM1,7,PCS,3,EUR,477955,2
IN10,9282345,1,98151444,MPLF,68,PCS,916,EUR,831433,1
IN10,7225549,2,90455123,MPLF,80,PCS,437,EUR,831433,3
DE10,7007579,2,13405872,TPM1,56,PCS,3,EUR,592976,2
CN10,7753335,1,98151444,MPLF,68,PCS,916,EUR,691504,2
BR10,8989370,1,97625203,MPLF,77,KG,554,EUR,561710,3
IN10,6464969,1,13405872,TPM1,83,PCS,3,EUR,577063,2
US10,8357714,1,88797376,MPLF,51,PCS,6,EUR,727448,2
DE10,5913258,1,15353960,TPM1,97,PCS,2,EUR,592976,1
US10,8074725,1,10615744,TPM1,97,PCS,5,EUR,727448,1
US10,5346571,2,17231232,TPM1,64,PCS,5,EUR,132541,1
US10,5346571,1,18608880,TPM1,39,PCS,1,EUR,158330,1
US10,6844440,1,90455123,MPLF,27,PCS,437,EUR,347658,3
CN10,5822578,3,15353960,TPM1,85,PCS,2,EUR,224086,2
US10,5442229,1,24242928,COLA,2,KG,321,EUR,347658,1
