_CASE_KEY,WERKS,EBELN,EBELP,ACTIVITY_EN,EVENTTIME,_SORTING,USER_NAME,RKDST,NAME1,ELIKZ,MATNR,MATKL,MENGE,DELGE,NETPR,BLDAT,BUDAT,BPDAT,DRDAT,LEWED,SEDAT,LCWED,ITDAT,MAVPR,THWMS,LATES,LATED,LATEP
BR101284681,BR10,128468,1,Create Purchase Order Item,2023-06-13 01:00:00,20000,68822615,,Material Delivery S.p.A,x,15353960,TPM1,93,93,2,2023-07-05,2023-07-26,,2023-06-16,2023-06-19,2023-06-20,2023-06-26,2023-06-30,,,1,1,
BR101284681,BR10,128468,1,Purchase Order Item: Approved,2023-06-16 01:00:00,23000,30692273,,Material Delivery S.p.A,x,15353960,TPM1,93,93,2,2023-07-05,2023-07-26,,2023-06-16,2023-06-19,2023-06-20,2023-06-26,2023-06-30,,,1,1,
BR101284681,BR10,128468,1,Purchase Order Item: Sent to Vendor,2023-06-16 01:00:00,25000,,,Material Delivery S.p.A,x,15353960,TPM1,93,93,2,2023-07-05,2023-07-26,,2023-06-16,2023-06-19,2023-06-20,2023-06-26,2023-06-30,,,1,1,
BR101284681,BR10,128468,1,Late Shipment,2023-06-19 01:00:00,25500,,,Material Delivery S.p.A,x,15353960,TPM1,93,93,2,2023-07-05,2023-07-26,,2023-06-16,2023-06-19,2023-06-20,2023-06-26,2023-06-30,,,1,1,
BR101284681,BR10,128468,1,Goods Shipped,2023-06-20 01:00:00,26000,,,Material Delivery S.p.A,x,15353960,TPM1,93,93,2,2023-07-05,2023-07-26,,2023-06-16,2023-06-19,2023-06-20,2023-06-26,2023-06-30,,,1,1,
BR101284681,BR10,128468,1,Late Delivery,2023-06-26 01:00:00,26500,,,Material Delivery S.p.A,x,15353960,TPM1,93,93,2,2023-07-05,2023-07-26,,2023-06-16,2023-06-19,2023-06-20,2023-06-26,2023-06-30,,,1,1,
BR101284681,BR10,128468,1,Record Goods Issue,2023-06-30 01:00:00,27000,,,Material Delivery S.p.A,x,15353960,TPM1,93,93,2,2023-07-05,2023-07-26,,2023-06-16,2023-06-19,2023-06-20,2023-06-26,2023-06-30,,,1,1,
BR101284681,BR10,128468,1,Record Invoice,2023-07-05 00:00:00,10200,,,Material Delivery S.p.A,x,15353960,TPM1,93,93,2,2023-07-05,2023-07-26,,2023-06-16,2023-06-19,2023-06-20,2023-06-26,2023-06-30,,,1,1,
BR101284682,BR10,128468,2,Create Purchase Requisition Item,2023-06-05 01:00:00,10000,10768403,x,FoodFY,x,19816724,COLA,54,54,521,2023-07-05,2023-07-26,,2023-06-15,2023-06-20,2023-06-20,2023-06-26,2023-06-26,,,0,0,
BR101284682,BR10,128468,2,Purchase Requisition Item: Approved,2023-06-12 01:00:00,11000,53251766,x,FoodFY,x,19816724,COLA,54,54,521,2023-07-05,2023-07-26,,2023-06-15,2023-06-20,2023-06-20,2023-06-26,2023-06-26,,,0,0,
BR101284682,BR10,128468,2,Create Purchase Order Item,2023-06-13 01:00:00,20000,68822615,x,FoodFY,x,19816724,COLA,54,54,521,2023-07-05,2023-07-26,,2023-06-15,2023-06-20,2023-06-20,2023-06-26,2023-06-26,,,0,0,
BR101284682,BR10,128468,2,Purchase Order Item: Approved,2023-06-15 01:00:00,23000,30692273,x,FoodFY,x,19816724,COLA,54,54,521,2023-07-05,2023-07-26,,2023-06-15,2023-06-20,2023-06-20,2023-06-26,2023-06-26,,,0,0,
BR101284682,BR10,128468,2,Purchase Order Item: Sent to Vendor,2023-06-15 01:00:00,25000,,x,FoodFY,x,19816724,COLA,54,54,521,2023-07-05,2023-07-26,,2023-06-15,2023-06-20,2023-06-20,2023-06-26,2023-06-26,,,0,0,
BR101284682,BR10,128468,2,Goods Shipped,2023-06-20 01:00:00,26000,,x,FoodFY,x,19816724,COLA,54,54,521,2023-07-05,2023-07-26,,2023-06-15,2023-06-20,2023-06-20,2023-06-26,2023-06-26,,,0,0,
BR101284682,BR10,128468,2,Record Goods Issue,2023-06-26 01:00:00,27000,,x,FoodFY,x,19816724,COLA,54,54,521,2023-07-05,2023-07-26,,2023-06-15,2023-06-20,2023-06-20,2023-06-26,2023-06-26,,,0,0,
BR101284682,BR10,128468,2,Record Invoice,2023-07-05 00:00:00,10200,,x,FoodFY,x,19816724,COLA,54,54,521,2023-07-05,2023-07-26,,2023-06-15,2023-06-20,2023-06-20,2023-06-26,2023-06-26,,,0,0,
BR101631721,BR10,163172,1,Create Purchase Requisition Item,2023-05-25 01:00:00,10000,61568536,x,O.R.T.O.,x,29156488,ZELA,90,90,374,2023-06-28,2023-07-19,,2023-06-05,2023-06-12,2023-06-12,2023-06-19,2023-06-19,,,0,0,
BR101631721,BR10,163172,1,Purchase Requisition Item: Approved,2023-06-01 01:00:00,11000,40138709,x,O.R.T.O.,x,29156488,ZELA,90,90,374,2023-06-28,2023-07-19,,2023-06-05,2023-06-12,2023-06-12,2023-06-19,2023-06-19,,,0,0,
BR101631721,BR10,163172,1,Create Purchase Order Item,2023-06-02 01:00:00,20000,27414385,x,O.R.T.O.,x,29156488,ZELA,90,90,374,2023-06-28,2023-07-19,,2023-06-05,2023-06-12,2023-06-12,2023-06-19,2023-06-19,,,0,0,
BR101631721,BR10,163172,1,Purchase Order Item: Approved,2023-06-05 01:00:00,23000,14147752,x,O.R.T.O.,x,29156488,ZELA,90,90,374,2023-06-28,2023-07-19,,2023-06-05,2023-06-12,2023-06-12,2023-06-19,2023-06-19,,,0,0,
BR101631721,BR10,163172,1,Purchase Order Item: Sent to Vendor,2023-06-05 01:00:00,25000,,x,O.R.T.O.,x,29156488,ZELA,90,90,374,2023-06-28,2023-07-19,,2023-06-05,2023-06-12,2023-06-12,2023-06-19,2023-06-19,,,0,0,
BR101631721,BR10,163172,1,Goods Shipped,2023-06-12 01:00:00,26000,,x,O.R.T.O.,x,29156488,ZELA,90,90,374,2023-06-28,2023-07-19,,2023-06-05,2023-06-12,2023-06-12,2023-06-19,2023-06-19,,,0,0,
BR101631721,BR10,163172,1,Record Goods Issue,2023-06-19 01:00:00,27000,,x,O.R.T.O.,x,29156488,ZELA,90,90,374,2023-06-28,2023-07-19,,2023-06-05,2023-06-12,2023-06-12,2023-06-19,2023-06-19,,,0,0,
BR101631721,BR10,163172,1,Record Invoice,2023-06-28 00:00:00,10200,,x,O.R.T.O.,x,29156488,ZELA,90,90,374,2023-06-28,2023-07-19,,2023-06-05,2023-06-12,2023-06-12,2023-06-19,2023-06-19,,,0,0,
BR101631722,BR10,163172,2,Create Purchase Order Item,2023-06-02 01:00:00,20000,27414385,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-05,2023-06-06,2023-06-06,2023-06-12,2023-06-16,,,0,1,
BR101631722,BR10,163172,2,Change Price,2023-06-02 01:00:00,21000,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-05,2023-06-06,2023-06-06,2023-06-12,2023-06-16,,,0,1,
BR101631722,BR10,163172,2,Purchase Order Item: Approved,2023-06-05 01:00:00,23000,14147752,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-05,2023-06-06,2023-06-06,2023-06-12,2023-06-16,,,0,1,
BR101631722,BR10,163172,2,Purchase Order Item: Sent to Vendor,2023-06-05 01:00:00,25000,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-05,2023-06-06,2023-06-06,2023-06-12,2023-06-16,,,0,1,
BR101631722,BR10,163172,2,Goods Shipped,2023-06-06 01:00:00,26000,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-05,2023-06-06,2023-06-06,2023-06-12,2023-06-16,,,0,1,
BR101631722,BR10,163172,2,Late Delivery,2023-06-12 01:00:00,26500,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-05,2023-06-06,2023-06-06,2023-06-12,2023-06-16,,,0,1,
BR101631722,BR10,163172,2,Record Goods Issue,2023-06-16 01:00:00,27000,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-05,2023-06-06,2023-06-06,2023-06-12,2023-06-16,,,0,1,
BR101631722,BR10,163172,2,Record Invoice,2023-06-28 00:00:00,10200,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-05,2023-06-06,2023-06-06,2023-06-12,2023-06-16,,,0,1,
BR101631723,BR10,163172,3,Create Purchase Order Item,2023-06-02 01:00:00,20000,27414385,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-06,2023-06-07,2023-06-08,2023-06-14,2023-06-20,,,1,1,
BR101631723,BR10,163172,3,Purchase Order Item: Approved,2023-06-06 01:00:00,23000,14147752,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-06,2023-06-07,2023-06-08,2023-06-14,2023-06-20,,,1,1,
BR101631723,BR10,163172,3,Purchase Order Item: Sent to Vendor,2023-06-06 01:00:00,25000,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-06,2023-06-07,2023-06-08,2023-06-14,2023-06-20,,,1,1,
BR101631723,BR10,163172,3,Late Shipment,2023-06-07 01:00:00,25500,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-06,2023-06-07,2023-06-08,2023-06-14,2023-06-20,,,1,1,
BR101631723,BR10,163172,3,Goods Shipped,2023-06-08 01:00:00,26000,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-06,2023-06-07,2023-06-08,2023-06-14,2023-06-20,,,1,1,
BR101631723,BR10,163172,3,Late Delivery,2023-06-14 01:00:00,26500,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-06,2023-06-07,2023-06-08,2023-06-14,2023-06-20,,,1,1,
BR101631723,BR10,163172,3,Record Goods Issue,2023-06-20 01:00:00,27000,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-06,2023-06-07,2023-06-08,2023-06-14,2023-06-20,,,1,1,
BR101631723,BR10,163172,3,Record Invoice,2023-06-28 00:00:00,10200,,,Material Delivery S.p.A,x,15353960,TPM1,40,40,2,2023-06-28,2023-07-19,,2023-06-06,2023-06-07,2023-06-08,2023-06-14,2023-06-20,,,1,1,
BR101751221,BR10,175122,1,Create Purchase Requisition Item,2023-06-05 01:00:00,10000,10768403,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751221,BR10,175122,1,Purchase Requisition Item: Rejected,2023-06-14 01:00:00,12000,32008687,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751221,BR10,175122,1,Create Purchase Order Item,2023-06-15 01:00:00,20000,96016266,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751221,BR10,175122,1,Purchase Order Item: Approved,2023-06-16 01:00:00,23000,40601709,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751221,BR10,175122,1,Purchase Order Item: Sent to Vendor,2023-06-16 01:00:00,25000,,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751221,BR10,175122,1,Change Price,2023-06-22 01:00:00,21000,,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751221,BR10,175122,1,Goods Shipped,2023-06-22 01:00:00,26000,,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751221,BR10,175122,1,Record Goods Issue,2023-06-26 01:00:00,27000,,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751221,BR10,175122,1,Record Invoice,2023-07-05 00:00:00,10200,,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751221,BR10,175122,1,Set Payment Block,2023-07-14 00:00:00,10400,,x,Fruits Supplies,x,87079640,MPLF,62,62,322,2023-07-05,2023-07-26,,2023-06-16,2023-06-22,2023-06-22,2023-06-26,2023-06-26,1.0,1.0,0,0,
BR101751222,BR10,175122,2,Create Purchase Order Item,2023-06-15 01:00:00,20000,96016266,,Material Delivery S.p.A,x,19297648,TPM1,79,79,2,2023-07-05,2023-07-26,,2023-06-15,2023-06-16,2023-06-16,2023-06-22,2023-06-22,,,0,0,
BR101751222,BR10,175122,2,Purchase Order Item: Approved,2023-06-15 01:00:00,23000,40601709,,Material Delivery S.p.A,x,19297648,TPM1,79,79,2,2023-07-05,2023-07-26,,2023-06-15,2023-06-16,2023-06-16,2023-06-22,2023-06-22,,,0,0,
BR101751222,BR10,175122,2,Purchase Order Item: Sent to Vendor,2023-06-15 01:00:00,25000,,,Material Delivery S.p.A,x,19297648,TPM1,79,79,2,2023-07-05,2023-07-26,,2023-06-15,2023-06-16,2023-06-16,2023-06-22,2023-06-22,,,0,0,
BR101751222,BR10,175122,2,Goods Shipped,2023-06-16 01:00:00,26000,,,Material Delivery S.p.A,x,19297648,TPM1,79,79,2,2023-07-05,2023-07-26,,2023-06-15,2023-06-16,2023-06-16,2023-06-22,2023-06-22,,,0,0,
BR101751222,BR10,175122,2,Record Goods Issue,2023-06-22 01:00:00,27000,,,Material Delivery S.p.A,x,19297648,TPM1,79,79,2,2023-07-05,2023-07-26,,2023-06-15,2023-06-16,2023-06-16,2023-06-22,2023-06-22,,,0,0,
BR101751222,BR10,175122,2,Record Invoice,2023-07-05 00:00:00,10200,,,Material Delivery S.p.A,x,19297648,TPM1,79,79,2,2023-07-05,2023-07-26,,2023-06-15,2023-06-16,2023-06-16,2023-06-22,2023-06-22,,,0,0,
BR101751223,BR10,175122,3,Create Purchase Requisition Item,2023-06-06 01:00:00,10000,17399386,x,Red Apple,x,97625203,MPLF,77,77,556,2023-07-11,2023-08-01,,2023-06-20,2023-06-23,2023-06-23,2023-06-29,2023-06-29,1.0,1.0,0,0,
BR101751223,BR10,175122,3,Purchase Requisition Item: Approved,2023-06-14 01:00:00,11000,32008687,x,Red Apple,x,97625203,MPLF,77,77,556,2023-07-11,2023-08-01,,2023-06-20,2023-06-23,2023-06-23,2023-06-29,2023-06-29,1.0,1.0,0,0,
